Ep,n,Season,Series,Rating - Andy,Watch - Andy,Rating - Matt,Watch - Matt,MVC - Andy,MVC - Matt,Joint TNC Rating,IMDB (at time of listen),n_reviews,Other MVC,Director 1,Director 2,Writer 1,Writer 2,Writer 3,Teleplay 1,Teleplay 2,Teleplay 3,Viewers,star_date,trek_date,orig_air_date,pod_date,pod_dur,mailbag_dur,recap_dur,
Emissary,1,1,DS9,9.5,YES,6,YES,Kira,Kira,7.75,7.5,4309,,David Carson,,Rick Berman,Michael Piller,,Michael Piller,,,18.8,46379.1,19/5/2369,3/1/1993,26/7/2022,2:19:00,,2:19:00,
Past Prologue,3,1,DS9,6,YES,5,NEUTRAL ,Kira,Kira,5.5,7.1,2458,,Winrich Kolbe,,Kathryn Powers,,,Kathryn Powers,,,13.4,not known,not known,10/1/1993,5/8/2022,2:20:00,,2:20:00,
A Man Alone,4,1,DS9,7,YES,6.5,YES,Bashir,Bashir,6.75,6.8,2371,,Paul Lynch,,Gerald Sanford,Michael Piller,,Michael Piller,,,13,46421.5,3/6/2369,17/1/1993,15/8/2022,1:55:00,,1:55:00,
Babel,5,1,DS9,6,YES,6,YES,Kira,Kira,6,7,2333,,Paul Lynch,,Sally Caves,Ira Steven Behr,,Michael McGreevey,Naren Shankar,,11.6,46423.7,4/6/2369,24/1/1993,20/8/2022,1:48:00,,1:48:00,
Captive Pursuit,6,1,DS9,7,YES,7.5,YES,O'Brien,O'Brien,7.25,7.6,2414,,Corey Allen,,Jill Sherman Donner,,,Jill Sherman Donner,Michael Piller,,12.9,46477.5,24/6/2369,31/1/1993,28/8/2022,1:50:00,,1:50:00,
Q Less,7,1,DS9,6,YES,3,NO,Dax,Dax,4.5,6.7,2332,,Paul Lynch,,Hannah Louise Shearer,,,Robert Hewitt Wolfe,,,12.8,46531.2,13/7/2369,7/2/1993,4/9/2022,2:09:00,,2:09:00,
Dax,8,1,DS9,6,YES,7,YES,Anina,Odo,6.5,7.1,2290,Anina,David Carson,,Peter Allan Fields,,,D.C. Fontana,Peter Allan Fields,,12.1,46910.1,29/11/2369,14/2/1993,25/9/2022,2:16:00,,2:16:00,
Passenger,9,1,DS9,7,YES,4,YES,Dax,Dax,5.5,6.3,2143,,Paul Lynch,,Morgan Gendel,,,Morgan Gendel,Robert Hewitt Wolfe,Michael Piller,11.6,not known,not known,21/2/1993,8/10/2022,1:47:00,,1:47:00,
Move Along Home,10,1,DS9,1,YES,1,NO,Sisko,Jake,1,5.8,2360,,David Carson,,Michael Piller,,,Frederick Rappaport,Lisa Rich,Jeanne Carrigan-Fauci,11.4,not known,not known,14/3/1993,26/10/2022,1:35:00,,1:35:00,
The Nagus,11,1,DS9,6,YES,6,YES,Jake,Odo,6,7,2169,,David Livingston,,David Livingston,,,Ira Steven Behr,,,10.7,not known,not known,21/3/1993,10/11/2022,1:51:00,,1:51:00,
